,movie,year,time_minute,imdb_rating,metascore
1085,Fitzcarraldo,(1982),158 min,8.0,-
1086,When Marnie Was There,(2014),103 min,7.7,72        
1087,The Diving Bell and the Butterfly,(2007),112 min,8.0,92        
1088,Happy Together,(1997),96 min,7.7,70        
1089,The Tale of The Princess Kaguya,(2013),137 min,8.0,89        
1090,Shadow of a Doubt,(1943),108 min,7.8,94        
1091,Harvey,(1950),104 min,7.9,-
1092,Inherit the Wind,(1960),128 min,8.1,75        
1093,Cat on a Hot Tin Roof,(1958),108 min,7.9,84        
1094,Song of the Sea,(2014),93 min,8.0,85        
1095,Dilwale Dulhania Le Jayenge,(1995),181 min,8.0,-
1096,My Name Is Khan,(2010),165 min,7.9,50        
1097,Hedwig and the Angry Inch,(2001),95 min,7.7,85        
1098,Scarface,(1932),93 min,7.7,87        
1099,The Triplets of Belleville,(2003),80 min,7.7,91        
1100,The Kid,(1921),68 min,8.3,-
1101,Land of Mine,(2015),100 min,7.8,75        
1102,The Motorcycle Diaries,(2004),126 min,7.7,75        
1103,The General,(1926),67 min,8.1,-
1104,Laura,(1944),88 min,7.9,-
1105,Wait Until Dark,(1967),108 min,7.7,81        
1106,The Lady Vanishes,(1938),96 min,7.8,98        
1107,Rocketry: The Nambi Effect,(2022),157 min,8.8,-
1108,Stalag 17,(1953),120 min,8.0,84        
1109,Invasion of the Body Snatchers,(1956),80 min,7.7,92        
1110,Zindagi Na Milegi Dobara,(2011),155 min,8.2,-
1111,Shershaah,(2021),135 min,8.4,-
1112,Farewell My Concubine,(1993),171 min,8.1,83        
1113,Kal Ho Naa Ho,(2003),186 min,7.9,54        
1114,Hard Boiled,(1992),128 min,7.7,-
1115,Ayla: The Daughter of War,(2017),125 min,8.3,-
1116,To Be or Not to Be,(1942),99 min,8.2,86        
1117,Sunrise,(1927),94 min,8.1,95        
1118,My Sassy Girl,(2001),137 min,8.0,-
1119,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        
1120,Night on Earth,(1991),129 min,7.7,68        
1121,I Remember,(1973),123 min,7.9,-
1122,La strada,(1954),108 min,8.0,-
1123,The Passion of Joan of Arc,(1928),114 min,8.2,-
1124,A Prophet,(2009),155 min,7.8,90        
1125,The Battle of Algiers,(1966),121 min,8.1,96        
1126,Out of the Past,(1947),97 min,8.0,85        
1127,Evil,(2003),113 min,7.7,61        
1128,Persepolis,(2007),96 min,8.0,90        
1129,Nostalghia,(1983),125 min,8.0,-
1130,To Have and Have Not,(1944),100 min,7.8,90        
1131,The Umbrellas of Cherbourg,(1964),91 min,7.8,86        
1132,Cowboy Bebop: The Movie,(2001),115 min,7.8,61        
1133,Sardar Udham,(2021),164 min,8.4,-
1134,The Lunchbox,(2013),104 min,7.8,76        
1135,The Sacrifice,(1986),149 min,7.9,-
1136,The Broken Circle Breakdown,(2012),111 min,7.7,70        
1137,Brief Encounter,(1945),86 min,8.0,92        
1138,Cape Fear,(1962),106 min,7.7,76        
1139,Dersu Uzala,(1975),142 min,8.2,-
1140,The Sea Inside,(I) (2004),126 min,8.0,74        
1141,Winter Sleep,(2014),196 min,8.1,88        
1142,Eyes Without a Face,(1960),90 min,7.6,90        
1143,The Shop Around the Corner,(1940),99 min,8.0,96        
1144,Sleuth,(1972),138 min,8.0,-
1145,Drishyam,(2013),160 min,8.3,-
1146,Pather Panchali,(1955),125 min,8.3,-
1147,Miracle on 34th Street,(1947),96 min,7.9,88        
1148,L'Avventura,(1960),144 min,7.8,-
1149,Jules and Jim,(1962),105 min,7.7,97        
1150,The Salesman,(2016),124 min,7.7,85        
1151,Nine Queens,(2000),114 min,7.9,80        
1152,The Experiment,(2001),120 min,7.7,60        
1153,Key Largo,(1948),100 min,7.7,-
1154,A Man for All Seasons,(1966),120 min,7.7,72        
1155,Swades,(2004),189 min,8.2,-
1156,In a Lonely Place,(1950),94 min,7.9,-
1157,Dreams,(1990),119 min,7.7,-
1158,Shine,(1996),105 min,7.6,87        
1159,Wolf Children,(2012),117 min,8.1,71        
1160,Battleship Potemkin,(1925),66 min,7.9,97        
1161,Diabolique,(1955),117 min,8.1,-
1162,The Wages of Fear,(1953),131 min,8.2,85        
1163,Cries & Whispers,(1972),91 min,8.0,-
1164,Confessions,(2010),106 min,7.7,-
1165,"Black Cat, White Cat",(1998),127 min,8.0,73        
1166,The Chorus,(2004),97 min,7.8,56        
1167,Joint Security Area,(2000),110 min,7.7,58        
1168,Gully Boy,(2019),154 min,7.9,65        
1169,"4 Months, 3 Weeks and 2 Days",(2007),113 min,7.9,97        
1170,Ninja Scroll,(1993),94 min,7.8,-
1171,"Spring, Summer, Fall, Winter... and Spring",(2003),103 min,8.0,85        
1172,Adam's Apples,(2005),94 min,7.7,51        
1173,The Hidden Fortress,(1958),126 min,8.1,89        
1174,Taste of Cherry,(1997),95 min,7.7,80        
1175,"Like Father, Like Son",(2013),121 min,7.8,73        
1176,Kagemusha,(1980),162 min,7.9,84        
1177,After the Wedding,(2006),120 min,7.7,78        
1178,The Asphalt Jungle,(1950),112 min,7.8,85        
1179,Throne of Blood,(1957),110 min,8.1,-
1180,You Can't Take It with You,(1938),126 min,7.8,-
1181,The Gold Rush,(1925),95 min,8.1,-
1182,Frost/Nixon,(2008),122 min,7.7,80        
1183,Autumn Sonata,(1978),99 min,8.1,-
1184,Vivre Sa Vie,(1962),85 min,7.9,-
1185,The Way He Looks,(2014),96 min,7.9,71        
1186,Tokyo Godfathers,(2003),92 min,7.8,73        
1187,The Killer,(1989),111 min,7.8,82        
1188,The Innocents,(1961),100 min,7.8,88        
1189,Sherlock Jr.,(1924),45 min,8.2,-
1190,My Father and My Son,(2005),112 min,8.2,-
1191,In America,(2002),105 min,7.7,76        
1192,Mildred Pierce,(1945),111 min,7.9,88        
1193,Sweet Smell of Success,(1957),96 min,8.0,100        
1194,Time of the Gypsies,(1988),142 min,8.1,-
1195,The Caine Mutiny,(1954),124 min,7.7,63        
1196,Joyeux Noel,(2005),116 min,7.7,70        
1197,Down by Law,(1986),107 min,7.7,75        
1198,Departures,(2008),130 min,8.0,68        
1199,Millennium Actress,(2001),87 min,7.8,70        
1200,Crimes and Misdemeanors,(1989),104 min,7.8,77        
1201,My Life as a Zucchini,(2016),70 min,7.7,85        
1202,Ace in the Hole,(1951),111 min,8.1,72        
1203,The Muppet Christmas Carol,(1992),85 min,7.7,64        
1204,The Magdalene Sisters,(2002),114 min,7.7,83        
1205,The Breadwinner,(2017),94 min,7.7,78        
1206,Barfi!,(2012),151 min,8.1,-
1207,Once Upon a Time in Anatolia,(2011),157 min,7.8,82        
1208,The Exterminating Angel,(1962),95 min,8.0,-
1209,Le Cercle Rouge,(1970),140 min,7.9,91        
1210,Munna Bhai M.B.B.S.,(2003),156 min,8.1,-
1211,Soorarai Pottru,(2020),153 min,8.7,-
1212,Raise the Red Lantern,(1991),125 min,8.1,-
1213,Rang De Basanti,(2006),167 min,8.1,-
1214,Elevator to the Gallows,(1958),91 min,7.9,94        
1215,Hiroshima Mon Amour,(1959),90 min,7.9,-
1216,Ivan's Childhood,(1962),95 min,8.0,-
1217,Sullivan's Travels,(1941),90 min,7.9,-
1218,The Rules of the Game,(1939),110 min,7.9,98        
1219,About Elly,(2009),119 min,7.9,87        
1220,The Virgin Spring,(1960),89 min,8.1,-
1221,The Girl Who Leapt Through Time,(2006),98 min,7.7,66        
1222,The Lost Weekend,(1945),101 min,7.9,-
1223,Celda 211,(2009),113 min,7.6,-
1224,Jab We Met,(2007),138 min,7.9,-
1225,The Big Heat,(1953),89 min,7.9,-
1226,Elite Squad 2: The Enemy Within,(2010),115 min,8.0,71        
1227,Dil Chahta Hai,(2001),183 min,8.1,-
1228,Nights of Cabiria,(1957),110 min,8.1,-
1229,Tangerines,(2013),87 min,8.1,73        
1230,The Purple Rose of Cairo,(1985),82 min,7.7,75        
1231,The Postman,(1994),108 min,7.8,81        
1232,Duck Soup,(1933),69 min,7.8,93        
1233,Rififi,(1955),118 min,8.1,97        
1234,Bajrangi Bhaijaan,(2015),163 min,8.1,-
1235,G.O.R.A.,(2004),127 min,8.0,-
1236,Haider,(2014),160 min,8.0,-
1237,Pink,(III) (2016),136 min,8.1,-
1238,Kind Hearts and Coronets,(1949),106 min,8.0,-
1239,Through a Glass Darkly,(1961),90 min,8.0,84        
1240,Raatchasan,(2018),170 min,8.3,-
1241,The Return,(2003),110 min,7.9,82        
1242,Beauty and the Beast,(1946),93 min,7.9,92        
1243,Fireworks,(1997),103 min,7.7,-
1244,No Man's Land,(I) (2001),98 min,7.9,84        
1245,Central Station,(1998),110 min,8.0,80        
1246,Chhichhore,(2019),143 min,8.3,-
1247,Vikram Vedha,(2017),147 min,8.2,-
1248,Uri: The Surgical Strike,(2019),138 min,8.2,-
1249,Article 15,(2019),130 min,8.1,-
1250,Talvar,(2015),132 min,8.1,-
1251,"Rome, Open City",(1945),103 min,8.0,-
1252,Jean de Florette,(1986),120 min,8.1,-
1253,Queen,(2013),146 min,8.1,-
1254,The Grand Illusion,(1937),113 min,8.1,-
1255,C.R.A.Z.Y.,(2005),129 min,7.9,81        
1256,Knockin' on Heaven's Door,(1997),87 min,7.8,-
1257,Sholay,(1975),162 min,8.1,-
1258,Love and Death,(1975),85 min,7.7,89        
1259,Zelig,(1983),79 min,7.7,-
1260,OMG: Oh My God!,(2012),125 min,8.1,-
1261,The Past,(2013),130 min,7.7,85        
1262,Tae Guk Gi: The Brotherhood of War,(2004),140 min,8.0,64        
1263,Badhaai Ho,(2018),124 min,7.9,-
1264,96,(II) (2018),158 min,8.5,-
1265,Veer Zaara,(2004),192 min,7.8,67        
1266,A Wednesday,(2008),104 min,8.1,-
1267,Sanjuro,(1962),96 min,8.0,-
1268,Dev.D,(2009),144 min,7.9,-
1269,Hindi Medium,(2017),132 min,7.8,-
1270,M.S. Dhoni: The Untold Story,(2016),184 min,7.9,-
1271,The Edge of Heaven,(2007),122 min,7.7,85        
1272,Winter Light,(1963),81 min,8.0,-
1273,The Bandit,(1996),128 min,8.1,-
1274,Umberto D.,(1952),89 min,8.2,92        
1275,A Night at the Opera,(1935),96 min,7.8,-
1276,Super 30,(2019),154 min,7.9,-
1277,Airlift,(2016),130 min,7.9,-
1278,Bhaag Milkha Bhaag,(2013),186 min,8.2,-
1279,Asuran,(2019),141 min,8.4,-
1280,The Circus,(1928),72 min,8.1,90        
1281,Let's Go! India,(2007),153 min,8.1,68        
1282,Pad Man,(2018),140 min,7.9,-
1283,Kahaani,(2012),122 min,8.1,-
1284,Vicky Donor,(2012),126 min,7.8,-
1285,Masaan,(2015),109 min,8.1,-
1286,"Carry On, Munna Bhai",(2006),144 min,8.0,-
1287,Hera Pheri,(2000),156 min,8.1,-
1288,Black,(2005),122 min,8.1,-
1289,The Breath,(2009),128 min,8.0,-
1290,Vizontele,(2001),110 min,8.0,-
1291,Udaan,(2010),134 min,8.1,-
1292,Andaz Apna Apna,(1994),160 min,8.0,-
1293,Paan Singh Tomar,(2012),135 min,8.2,-
1294,Baby,(I) (2015),159 min,7.9,-
1295,English Vinglish,(2012),134 min,7.8,-
1296,Everything's Gonna Be Great,(1998),107 min,8.1,-
1297,Anand,(1971),122 min,8.1,-
1298,Special 26,(2013),144 min,8.0,-
1299,Sarfarosh,(1999),174 min,8.1,-
